,Розничный Прайс-лист от 04/05/2006,,
,1010,Коректор FACEFACE Mineral Warm 6мл,"230,000"
,1011,Коректор FACEFACE Mineral БЛОНД 6мл,"230,000"
,1012,Коректор FACEFACE Mineral БРЮНЕТ 6мл,"230,000"
,1013,Коректор FACEFACE Mineral РУСЫЙ 6мл,"230,000"
,1014,Коректор FACEFACE Mineral ТЕПЛЫЙ ШАТЕН 6мл,"230,000"
,1015,Коректор FACEFACE Mineral ШАТЕН 6мл,"230,000"
,1016,Ресницы ENIGMA Мокка C 0.07*10,"155,000"
,1017,Ресницы ENIGMA Мокка C 0.07*11,"155,000"
,1018,Ресницы ENIGMA Мокка C 0.07*12,"155,000"
,1019,Ресницы ENIGMA Мокка C 0.07*13,"155,000"
,1020,Ресницы ENIGMA Мокка C 0.07*5-9,"155,000"
,1021,Ресницы ENIGMA Мокка C 0.07*6-13,"155,000"
,1022,Ресницы ENIGMA Мокка C 0.07*7,"155,000"
,1023,Ресницы ENIGMA Мокка C 0.07*7-14,"155,000"
,1024,Ресницы ENIGMA Мокка C 0.07*8,"155,000"
,1025,Ресницы ENIGMA Мокка C 0.07*8-12,"155,000"
,1026,Ресницы ENIGMA Мокка C 0.07*9,"155,000"
,1027,Ресницы ENIGMA Мокка C 0.10*10,"170,000"
,1028,Ресницы ENIGMA Мокка C 0.10*11,"170,000"
,1029,Ресницы ENIGMA Мокка C 0.10*12,"170,000"
,1030,Ресницы ENIGMA Мокка C 0.10*5-9,"155,000"
,1031,Ресницы ENIGMA Мокка C 0.10*6-13,"155,000"
,1032,Ресницы ENIGMA Мокка C 0.10*7-14,"155,000"
,1033,Ресницы ENIGMA Мокка C 0.10*8,"170,000"
,1034,Ресницы ENIGMA Мокка C 0.10*8-12,"155,000"
,1035,Ресницы ENIGMA Мокка C 0.10*9,"170,000"
,1036,Ресницы ENIGMA Мокка D 0.07*10,"155,000"
,1037,Ресницы ENIGMA Мокка D 0.07*11,"155,000"
,1038,Ресницы ENIGMA Мокка D 0.07*12,"155,000"
,1039,Ресницы ENIGMA Мокка D 0.07*13,"155,000"
,1040,Ресницы ENIGMA Мокка D 0.07*14,"155,000"
,1041,Ресницы ENIGMA Мокка D 0.07*7,"155,000"
,1042,Ресницы ENIGMA Мокка D 0.07*7-13,"155,000"
,1043,Ресницы ENIGMA Мокка D 0.07*8,"155,000"
,1044,Ресницы ENIGMA Мокка D 0.07*8-12,"155,000"
,1045,Ресницы ENIGMA Мокка D 0.07*8-14,"155,000"
,1046,Ресницы ENIGMA Мокка D 0.07*9,"155,000"
,1047,Ресницы ENIGMA Мокка D 0.10*10,"170,000"
,1048,Ресницы ENIGMA Мокка D 0.10*11,"170,000"
,1049,Ресницы ENIGMA Мокка D 0.10*12,"170,000"
,1050,Ресницы ENIGMA Мокка D 0.10*7-13,"155,000"
,1051,Ресницы ENIGMA Мокка D 0.10*8,"170,000"
,1052,Ресницы ENIGMA Мокка D 0.10*8-14,"155,000"
,1053,Ресницы ENIGMA Мокка D 0.10*9,"170,000"
,1054,Ресницы ENIGMA Мокка С 0.07*14,"155,000"
,1055, Многофукциональный инструмент Monroe  в колбе,"89,000"
,1056, Многофукциональный инструмент Monroe  с лопаткой,"149,000"
,1057, Многофукциональный инструмент Monroe  с расчёской,"149,000"
,1058,Пинцет Monroe  T2,"145,000"
,1059, Пинцет Monroe C1 изогнутый ,"159,000"
,1060, Пинцет Monroe G-Perfect,"155,000"
,1061, Пинцет Monroe G15-5mm,"130,000"
,1062, Пинцет Monroe G17-7mm,"130,000"
,1063, Пинцет Monroe G65-7 ,"145,000"
,1064, Пинцет Monroe M6 ,"145,000"
,1065, Пинцет Monroe M7 ,"145,000"
,1066, Пинцет Monroe S-Perfect,"155,000"
,1067, Пинцет Monroe S10 ,"159,000"
,1068, Пинцет Monroe S11 прямой узкий,"120,000"
,1069, Пинцет Monroe S12 прямой,"120,000"
,1070, Пинцет Monroe SP1 ,"159,000"
,1071, Пинцет Monroe SP2 ,"159,000"
,1072, Пинцет Monroe SP3,"145,000"
,1073, Пинцет Monroe T1 ,"159,000"
,1074, Пинцет Monroe TOP ,"159,000"
,1075, Пинцет Monroe Wave,"145,000"
,1076, Пинцет Monroe С-Perfect,"155,000"
,1077, Пинцет Monroe С2  ,"159,000"
,1078, Пинцет Monroe С3 ,"159,000"
,1079, Пинцет Monroe С5 ,"159,000"
,1080, Пинцет для бровей. Monroe BSG  ,"47,000"
,1081, NE (нечаева) вторичная анестезия  гель GENTLE #612  ,"390,000"
,1082, NE (нечаева) вторичная анестезия гель CLASSIC #611  ,"390,000"
,1083, Nikk Mole Кисть для подводки и тонких линий №36,"55,000"
,1084, Nikk Mole Крем после депиляции 50мл,"75,000"
,1085, Nikk Mole Мусс-Шампунь 125ml,"95,000"
,1086, Nikk Mole Мусс-Шампунь 50ml,"65,000"
,1087, Nikk Mole Набор саше био фиксации,"450,000"
,1088, Nikk Mole Пенка для умывания 50мл,"65,000"
,1089,Кератиновая краска в тубе Nikk Mole Black,"70,000"
,1090,Кератиновая краска в тубе Nikk Mole Brown,"70,000"
,1091,Кератиновая краска в тубе Nikk Mole Dark Brown,"70,000"
,1092,Кератиновая краска в тубе Nikk Mole Graphite,"70,000"
,1093, Кисть для нанесения Brow Paste №20,"135,000"
,1094, Краска NIKK Mole графит 15мл,"85,000"
,1095, Краска NIKK Mole коричневая 15мл,"85,000"
,1096, Краска NIKK Mole светло-коричневая15мл,"85,000"
,1097, Краска NIKK Mole серо-коричневая 15мл,"85,000"
,1098, Краска NIKK Mole темно-коричневая15мл,"85,000"
,1099, Краска корич в саше 2мл+оксид 2мл  ,"35,000"
,1100, Краска корич в саше 5мл+оксид 5мл,"25,000"
,1101, Краска св-корич в саше 5мл+оксид 5мл,"25,000"
,1102, Краска тем-кор в саше 2мл+оксид 2мл  ,"35,000"
,1103, Краска тем-корич в саше 5мл+оксид 5мл,"25,000"
,1104, Краска черная в саше 2мл+оксид 2мл  ,"35,000"
,1105, Мини воскоплав Nikk Mole,"430,000"
,1106, Окислитель 3%  NIKK Mole 100ml,"100,000"
,1107, Окислитель 3%  NIKK Mole 30ml,"85,000"
,1108, Счастье для бровей NIKK MOLE,"220,000"
,1109,Ресницы Ollure  NE (нечаева)on Mix C 0.07*10-13mm,"160,000"
,1110,Ресницы Ollure  NE (нечаева)on Mix C 0.10*10-13mm,"160,000"
,1111,Ресницы Ollure  NE (нечаева)on Mix CC 0.07*10-13mm,"160,000"
,1112,Ресницы Ollure  NE (нечаева)on Mix CC 0.10*10-13mm,"160,000"
,1113,Ресницы Ollure  NE (нечаева)on Mix D 0.07*10-13mm,"160,000"
,1114,Ресницы Ollure  NE (нечаева)on Mix D 0.10*10-13mm,"160,000"
,1115,Пигмент FACE Organic love белаялуччи 6мл,"190,000"
,1116,Пигмент FACE Organic love Виктория 12мл,"305,000"
,1117,Пигмент FACE Organic love Виктория 6мл,"190,000"
,1118,Пигмент FACE Organic love Дженнифер 12мл,"305,000"
,1119,Пигмент FACE Organic love Дженнифер 6мл,"190,000"
,1120,Пигмент FACE Organic love Джоли 12мл,"305,000"
,1121,Пигмент FACE Organic love Джоли 6мл,"190,000"
,1122,Пигмент FACE Organic love Космополитан 6мл,"190,000"
,1123,Пигмент FACE Organic love Кэрри 6мл,"190,000"
,1124,Пигмент FACE Organic love Меган 12мл,"305,000"
,1125,Пигмент FACE Organic love Меган 6мл,"190,000"
,1126,Пигмент FACE Organic love Миранда 6мл,"190,000"
,1127,Пигмент FACE Organic love Мур 12мл,"305,000"
,1128,Пигмент FACE Organic love Мур 6мл,"190,000"
,1129,Пигмент FACE Organic love НУАР 12мл,"305,000"
,1130,Пигмент FACE Organic love НУАР 6мл,"190,000"
,1131,Пигмент FACE Organic love Перис 12мл,"305,000"
,1132,Пигмент FACE Organic love Перис 6мл,"190,000"
,1133,Пигмент FACE Organic love Саманта 6мл,"190,000"
,1134,Пигмент FACE Organic love Тайра 12мл,"305,000"
,1135,Пигмент FACE Organic love Тайра 6мл,"190,000"
,1136,Пигмент FACE Organic love Шарлотта 6мл,"190,000"
,1137,Пигмент FACE Organic love Шейк 12мл,"305,000"
,1138,Пигмент FACE Organic love Шейк 6мл,"190,000"
,1139,Броу Хенна Fixtone Флюид-стабилизатор тона,"110,000"
,1140,Броу Хенна OXYGEN J2 MINI,"160,000"
,1141,Броу Хенна OXYGEN O2370гр,"599,000"
,1142,Броу Хенна Краска Black #2.07 для бровей и ресниц 15мл,"109,000"
,1143,Броу Хенна Краска Brown#5.67 для бровей и ресниц 15мл,"109,000"
,1144,Броу Хенна Краска Graphite #3.11 для бровей и ресниц 15мл,"109,000"
,1145,Броу Хенна Краска Warm walnut#6.42 для бровей и ресниц 15мл,"109,000"
,1146,"Броу Хенна Крем-активатор1,8% OXYGEN O2 30мл","70,000"
,1147,"Броу Хенна Крем-активатор 2,7% OXYGEN O2 100мл","105,000"
,1148,"Броу Хенна Крем-активатор 2,7% OXYGEN O2 30мл","85,000"
,1149,Броу Хенна Рем для снятия краски с кожи OXYGEN О2 35 мл,"70,000"
,1150,Броу Хенна Сlear Shade Diluter#0.0 для бровей и ресниц 15мл,"109,000"
,1151,Краска для бровей Refectocil 15ml цвет-блонд №0,"119,000"
,1152,Краска для бровей Refectocil 15мл цвет Исс чёрн№2,"119,000"
,1153,Краска для бровей Refectocil 15мл цвет Каштан№4,"119,000"
,1154,Краска для бровей Refectocil 15мл цвет- графит№1.1,"119,000"
,1155,Краска для бровей Refectocil 15мл цвет- коричневый естественный №3,"119,000"
,1156,Краска для бровей Refectocil 15мл цвет- черный №1,"119,000"
,1157,Краска для бровей Refectocil 15мл цвет-светло коричневый №3.1,"119,000"
,1158, Refectocil Оксидант жидкий 100мл,"130,000"
,1159, Refectocil Ремув для маленьких пятен150мл,"285,000"
,1160, Refectocil Солевой раствор 150мл,"110,000"
,1161,Refeсtocil Оксидант кремообразный 100мл,"155,000"
,1162,Sexy GLUE Клей для ламинирования 5мл,"110,000"
,1163,Sexy Protein Botox 10мл,"148,000"
,1164,Sexy Набор в саше LAMINATION ,"130,000"
,1165,Sexy Состав для ламинирования  BROW ESSENCE #3 ,"79,000"
,1166,Sexy Состав для ламинирования  BROW LIFT #1 ,"79,000"
,1167,Sexy Состав для ламинирования  BROW SCULPT #2 ,"79,000"
,1168,Состав для ламинирования  Sexy №1   Volume lift,"75,000"
,1169,Состав для ламинирования  Sexy №2   volume fixer,"75,000"
,1170,Состав для ламинирования  Sexy №3   Silk ESSENCE,"75,000"
,1171, Shik Cleansing Concentrate 100ml,"87,000"
,1172," Shik Cleansing Lotion #1, 100ml","59,000"
,1173, Shik Color Remover Ремувер,"65,000"
,1174, Shik Express brush cleanser 100 ml,"160,000"
,1175, Shik Eyebrow color fix lotion 20ml,"150,000"
,1176, Shik Micro Wax Heater,"220,000"
,1177," Shik Post-Waxing lotion #4, 100ml Лосьон-крем после эпиляции № 4 для увлажнения и восстановления кожи","89,000"
,1178," Shik Pre-Waxing Oil #3, 100ml Масло перед эпиляцией № 3 для защиты и снятия раздражения кожи","105,000"
,1179,"Shik Skin Cleansing #2, 100ml Очищающий лосьон №2 для устранения шелушений, увлажнения и питания кожи","89,000"
,1180,SHIK Воск NE (нечаева)W 100гр Воск для бровей Brow bar,"90,000"
,1181,Shik Карандаш для бровей механический Medium,"45,000"
,1182,Shik Карандаш для бровей механический Taupe,"45,000"
,1183,Shik Краска Blue Black 15мл,"135,000"
,1184,Shik Краска Brown 15мл,"135,000"
,1185,Shik Краска Colorless15мл,"135,000"
,1186,Shik Краска Cool dark brown 15мл,"135,000"
,1187,Shik Краска Cool light brown15мл,"135,000"
,1188,Shik Краска Graphite 15мл,"135,000"
,1189,Shik Краска Light brown15мл,"135,000"
,1190,Shik Краска Soft Brown 15мл,"135,000"
,1191,Shik Лайнер для бровей 01,"80,000"
,1192,Shik Мицеллярная вода 100мл,"55,000"
,1193,"Shik Мыло для кистей, спонжей","36,000"
,1194,Shik Набор для ламинир (брови) и ресниц,"525,000"
,1195,Shik Оксид 0.9% 50ml NE (нечаева)W,"85,000"
,1196,Shik Оксид 1.8% 50мл NE (нечаева)W,"85,000"
,1197,Shik Оксид 3% 50мл NE (нечаева)W,"95,000"
,1198,Shik Осветлитель Blonde 15мл,"135,000"
,1199,Shik Осветлитель Honey Blonde 15мл,"135,000"
,1200,Shik Осветлитель Taupe 15мл,"135,000"
,1201,Shik Очиститель воска №5,"135,000"
,1202,Shik Очищ мусс Bubble Brow Cleansing,"135,000"
,1203,Shik Пинцет для оформления бровей,"415,000"
,1204,Ресницы Лавли Siena MIX D 0.07*6-13 ,"95,000"
,1205,Ресницы Лавли Siena MIX D 0.07*8-15 ,"95,000"
,1206,Ресницы Лавли Siena MIX D 0.10*6-13 ,"95,000"
,1207,Ресницы Лавли Siena MIX D 0.10*8-15 ,"95,000"
,1208,Ресницы Лавли Siena MIX L 0.07*6-13 ,"105,000"
,1209,Ресницы Лавли Siena MIX M 0.07*6-13 ,"105,000"
,1210,Ресницы Лавли Siena MIX M 0.10*6-13 ,"105,000"
,1211,Ресницы Лавли Siena MIX M 0.10*8-15 ,"95,000"
,1212,Ресницы Лавли Siena MIX С 0.07*6-13 ,"95,000"
,1213,Ресницы Лавли Siena MIX С 0.07*8-15 ,"95,000"
,1214,Ресницы Лавли Siena MIX С 0.10*6-13 ,"95,000"
,1215,Ресницы Лавли Siena MIX С 0.10*8-15 ,"95,000"
,1216,Ресницы Лавли темно коричневые BORDEU C 0.07*8-15 ,"95,000"
,1217,Ресницы Лавли темно коричневые BORDEU C 0.10*6-13 ,"95,000"
,1218,Ресницы Лавли темно коричневые BORDEU C 0.10*8-15 ,"95,000"
,1219,Ресницы Лавли темно коричневые BORDEU D 0.07*8-15 ,"95,000"
,1220,Ресницы Лавли темно коричневые BORDEU D 0.10*8-15 ,"95,000"
,1221,Ресницы Лавли темно коричневые BORDEU M 0.07*8-15 ,"95,000"
,1222,Ресницы Лавли темно коричневые BORDEU M 0.10*8-15 ,"95,000"
,1223,Ресницы Лавли темно коричневые MONACO C 0.07*6-13 ,"95,000"
,1224,Ресницы Лавли темно коричневые MONACO C 0.07*8-15 ,"95,000"
,1225,Ресницы Лавли темно коричневые MONACO C 0.10*6-13 ,"95,000"
,1226,Ресницы Лавли темно коричневые MONACO C 0.10*8-15 ,"95,000"
,1227,Ресницы Лавли темно коричневые MONACO L 0.10*6-13 ,"95,000"
,1228,Ресницы Лавли темно коричневые MONACO L 0.10*8-15 ,"95,000"
,1229,Ресницы Лавли темно коричневые MONACO M 0.07*6-13 ,"95,000"
,1230,Ресницы Лавли темно коричневые MONACO M 0.07*8-15,"95,000"
,1231,Ресницы Лавли темно коричневые MONACO M 0.10*5-8 ,"95,000"
,1232,Ресницы Лавли темно коричневые MONACO M 0.10*6-13 ,"95,000"
,1233,Ресницы Лавли темно коричневые MONACO M 0.10*8-15 ,"95,000"
,1234,Ресницы Лавли темно коричневые MONACO Д 0.07*6-13 ,"95,000"
,1235,Ресницы Лавли темно коричневые MONACO Д 0.07*8-15 ,"95,000"
,1236,Ресницы Лавли темно коричневые MONACO Д 0.10*6-13 ,"95,000"
,1237,Ресницы Лавли темно коричневые MONACO Д 0.10*8-15 ,"95,000"
,1238,G501 Пинц.для бровей цветной,"60,000"
,1239,G701 Пинцет для бровей черный  NE (нечаева)W,"60,000"
,1240,G703 Пинцет для бровей розовый  NE (нечаева)W,"60,000"
,1241,G703z Пинцет для бровей розовый  NE (нечаева)W,"60,000"
,1242,G705 Пинцет для бровей фиолет  NE (нечаева)W,"60,000"
,1243,G801z Пинцет для бровей серебро,"80,000"
,1244,G803z Пинцет для бровей Tiffany ,"80,000"
,1245,G804z Пинцет для бровей Peach ,"90,000"
,1246,G805z Пинцет для бровей золото,"90,000"
,1247,G807z Пинцет для бровей чёрный,"90,000"
,1248,G808z Пинцет для бровей радужный,"90,000"
,1249,G809z Пинцет для бровей Lavander ,"90,000"
,1250, Ресницы Avital FOX Spire mix C0.07 ,"110,000"
,1251, Ресницы Avital FOX Spire mix D0.07 ,"110,000"
,1252, Ресницы Avital Spire mix C0.07 ,"110,000"
,1253, Ресницы Avital Spire mix D0.07 (16 лент),"110,000"
,1254,Ресницы OH! MY LASH Spire C 0.07 7-13 (12 линий),"75,000"
,1255,Ресницы OH! MY LASH Spire D 0.07 7-13 (12 линий),"75,000"
,1256,Ресницы OH! MY LASH Sweep C 0.07 7-13 (12 линий),"75,000"
,1257,Ресницы OH! MY LASH Sweep D 0.07 7-13 (12 линий),"75,000"
,1258,Кисть Synthetic 10,"35,000"
,1259,Кисть Synthetic 13,"30,000"
,1260,Кисть Synthetic 14,"35,000"
,1261,Кисть Synthetic 15,"35,000"
,1262,Кисть Synthetic 16,"35,000"
,1263,Кисть Synthetic 17,"35,000"
,1264,Кисть Synthetic 19,"40,000"
,1265,Кисть Synthetic 20,"30,000"
,1266,Кисть Synthetic 21,"40,000"
,1267,Кисть Synthetic 22,"35,000"
,1268,Кисть Synthetic 24,"40,000"
,1269,Кисть Synthetic 4,"30,000"
,1270,Кисть Synthetic 5,"25,000"
,1271,Иглы для перманента  THEM #10 0.30/1RLLT (1уп),"410,000"
,1272,Иглы для перманента  THEM #10 0.30/1RLLT (1шт),"22,000"
,1273,Иглы для перманента  THEM #10 0.30/1RLMT (1уп),"410,000"
,1274,Иглы для перманента  THEM #10 0.30/1RLMT (1шт),"22,000"
,1275,Иглы для перманента  THEM #10 0.30/3RLLT (1уп),"410,000"
,1276,Иглы для перманента  THEM #10 0.30/3RLLT (1шт),"22,000"
,1277,Иглы для перманента  THEM #12 0.33/1RLLT (1уп),"410,000"
,1278,Иглы для перманента  THEM #12 0.33/1RLLT (1шт),"22,000"
,1279,Иглы для перманента  THEM #12 0.33/1RLMT (1уп),"410,000"
,1280,Иглы для перманента  THEM #12 0.33/1RLMT (1шт),"22,000"
,1281,Иглы для перманента  THEM #12 0.35/1RLMT (1уп),"410,000"
,1282,Иглы для перманента  THEM #12 0.35/1RLMT (1шт),"22,000"
,1283,Иглы для перманента  THEM #6 0.20/1RLLT (1уп),"410,000"
,1284,Иглы для перманента  THEM #6 0.20/1RLLT (1шт),"22,000"
,1285,Иглы для перманента  THEM #8 0.25/1RLLT (1уп),"410,000"
,1286,Иглы для перманента  THEM #8 0.25/1RLLT (1шт),"22,000"
,1287,Иглы для перманента  THEM #8 0.25/3RLLT (1уп),"410,000"
,1288,Иглы для перманента  THEM #8 0.25/3RLLT (1шт),"22,000"
,1289,Иглы для перманента  THEM #8 0.27/1RLLT (1уп),"410,000"
,1290,Иглы для перманента  THEM #8 0.27/1RLLT (1шт),"22,000"
,1291, Состав Thuya Gel Permanente 15мл,"545,000"
,1292," Состав Thuya Gel Permanente саше, 2мл","100,000"
,1293, Thuya Защитный крем для глаз 50мл,"155,000"
,1294," Thuya краска, графит 14ml","199,000"
,1295," Thuya краска, индиго 14ml","150,000"
,1296," Thuya краска, иссиня чёрный 14ml","199,000"
,1297," Thuya краска, каштан 14ml","199,000"
,1298," Thuya краска, коричневый 14ml","199,000"
,1299," Thuya краска, мол. шоколад 14ml","199,000"
,1300," Thuya краска, осветлитель блонд 14ml","199,000"
,1301," Thuya краска, светло кор 14ml","199,000"
,1302," Thuya краска, серый тауп 14ml","199,000"
,1303," Thuya краска, чёрный 14ml","199,000"
,1304," Thuya Набор долг укл (брови), крем","1,250,000"
,1305, Thuya Нейтрализатор крем 15мл,"520,000"
,1306," Thuya Нейтрализатор крем, саше 2мл","100,000"
,1307, Thuya Окислитель крем 14ml,"165,000"
,1308, Thuya Оксидант жидкийий 60ml,"159,000"
,1309, Thuya Оксидант кремовый 50ml,"225,000"
,1310, Thuya Реген. крем с маслом арганы 15ml,"215,000"
,1311, Unex  Маска одноразовая белаяая 50 шт,"40,000"
,1312, Unex  Маска одноразовая синяя 50 шт,"40,000"
,1313, Unex  Маска одноразовая черная 50 шт,"40,000"
,1314, Unex Перчатки нитрил синие S,"55,000"
,1315, Unex Перчатки нитрил. голубые - L,"55,000"
,1316, Unex Перчатки нитрил. фиол - L,"55,000"
,1317, Unex Перчатки нитрил. фиол - S,"55,000"
,1318, Unex Перчатки нитрил. фиол - М,"55,000"
,1319, Unex Перчатки нитрил. чёрные  - L,"55,000"
,1320, Unex Перчатки нитрил. черные - S,"65,000"
,1321, Unex Перчатки нитрил. черные - XS,"55,000"
,1322, Unex Перчатки нитрил.белаяые - M,"65,000"
,1323, Unex Перчатки нитрил.розовые - M,"65,000"
,1324, Unex Перчатки нитрил.розовые - S,"65,000"
,1325, Unex Перчатки нитрил.черные - M,"65,000"
,1326, Unigloves Перчатки нитрил. черные - XS,"60,000"
,1327, Unigloves Перчатки.Нитрил роз - M,"60,000"
,1328, Unigloves Перчатки.Нитрил роз -S,"60,000"
,1329, Unigloves Перчатки.Нитрил фиол - S,"60,000"
,1330, Unigloves Перчатки.Нитрил чёрн - L,"60,000"
,1331, Unigloves Перчатки.Нитрил чёрн - M,"60,000"
,1332, Unigloves Перчатки.Нитрил чёрн - S,"60,000"
,1333,Ампулы/1уп-40шт (HOME OIL COCKTAIL),"780,000"
,1334,Ампулы/1шт (HOME OIL COCKTAIL),"22,000"
,1335, Пинцет Vetus 5 BSA VOLUME,"95,000"
,1336, Пинцет Vetus 6A-SA,"95,000"
,1337, Пинцет Vetus 7SA,"95,000"
,1338, Пинцет Vetus ESD10,"85,000"
,1339, Пинцет Vetus ESD11,"85,000"
,1340, Пинцет Vetus ESD12,"85,000"
,1341, Пинцет Vetus ESD14,"85,000"
,1342, Пинцет Vetus ESD15,"85,000"
,1343, Пинцет Vetus ST 10,"85,000"
,1344, Пинцет Vetus ST 11,"85,000"
,1345, Пинцет Vetus ST 12,"85,000"
,1346, Пинцет Vetus ST 14,"85,000"
,1347, Пинцет Vetus ST 15,"85,000"
,1348,Ресницы OH! MY LASH YY-U C 0.07 7-12 (12 линий),"90,000"
,1349,Ресницы OH! MY LASH YY-U D 0.07 7-12 (12 линий),"90,000"
,1350,Пинцет Zatocci Premium 12,"100,000"
,1351,Пинцет Zatocci Premium 19,"100,000"
,1352,Пинцет Zatocci Premium 24,"170,000"
,1353,Пинцет Zatocci Premium 34,"153,000"
,1354,Пинцет Zatocci Premium 5,"100,000"
,1355,Пинцет Zatocci Premium 79,"160,000"
,1356,Пинцет Zatocci Premium 89,"190,000"
,1357,Пинцет Zatocci Premium 90,"190,000"
,1358,Пинцет Zatocci Premium 91,"170,000"
,1359,Пинцет Zatocci Premium 93,"190,000"
,1360,Пинцет Zatocci Premium 96,"170,000"
,1361,Пинцет Zatocci Premium A27(прямой),"136,000"
,1362,Пинцет Zatocci Premium A28(изогн),"170,000"
,1363,Пинцет Zatocci Premium A29,"136,000"
,1364,Пинцет Zatocci Premium A30(прямой),"136,000"
,1365,Пинцет Zatocci Premium B20,"160,000"
,1366,Пинцет Zatocci Premium B21,"160,000"
,1367,Пинцет Zatocci Premium B22,"160,000"
,1368,Пинцет Zatocci Premium B23,"160,000"
,1369,Пинцет Zatocci Premium B24,"160,000"
,1370,Пинцет Zatocci Premium B25,"160,000"
,1371,Пинцет Zatocci Premium B26,"160,000"
,1372,Пинцет Zatocci Premium B27,"160,000"
,1373,Пинцет Zatocci Premium B28,"160,000"
,1374,Пинцет Zatocci Premium B29,"160,000"
,1375,Пинцет Zatocci Premium B30,"160,000"
,1376,Пинцет Zatocci Premium B33,"160,000"
,1377,Пинцет Zatocci Premium B35,"160,000"
,1378,Пинцет Zatocci Premium B36,"160,000"
,1379,Пинцет Zatocci Premium B38,"160,000"
,1380,Пинцет Zatocci Premium B42,"160,000"
,1381,Пинцет Zatocci Premium B44,"160,000"
,1382,Пинцет Zatocci Premium Brow 441,"63,750"
,1383,Пинцет Zatocci Premium Brow 442,"63,750"
,1384,Пинцет Zatocci Premium Brow 478,"63,750"
,1385,Пинцет Zatocci Premium Brow 479,"63,750"
,1386,Пинцет Zatocci Premium Brow 482,"63,750"
,1387,Пинцет Zatocci Premium Brow 483,"63,750"
,1388,Пинцет Zatocci Premium D10,"160,000"
,1389,Пинцет Zatocci Premium D13,"160,000"
,1390,Пинцет Zatocci Premium D14,"165,000"
,1391,Пинцет Zatocci Premium D16,"160,000"
,1392,Пинцет Zatocci Premium D17,"160,000"
,1393,Пинцет Zatocci Premium D18,"160,000"
,1394,Пинцет Zatocci Premium D19,"160,000"
,1395,Пинцет Zatocci Premium D22,"160,000"
,1396,Пинцет Zatocci Premium D23,"160,000"
,1397,Пинцет Zatocci Premium D28,"160,000"
,1398,Пинцет Zatocci Premium D29,"160,000"
,1399,Пинцет Zatocci Premium Z1,"160,000"
,1400,Zatocci пинцет для бровей стальные,"85,000"
,1401,Zatocci пинцет для бровей цветные,"85,000"
,1402,Щеточки Baby Brush Monroe 0.7mm (Blue) Transformer,"10,000"
,1403,Щеточки Baby Brush Monroe 1.0-1.2mm (Yellow) Transformer,"10,000"
,1404,Щеточки Baby Brush Monroe 1.0mm Transformer,"10,000"
,1405,Щеточки Baby Brush Monroe 1.0mm(Голуб),"10,000"
,1406,Щеточки Baby Brush Monroe 1.0mm(Голуб)Контейнер 2шт,"20,000"
,1407,Щеточки Baby Brush Monroe 1.2-1.5mm (Orange) Transformer,"10,000"
,1408,Щеточки Baby Brush Monroe 1.2mm(Фиол),"8,000"
,1409,Щеточки Baby Brush Monroe 1.2mm(Фиол)контейнер 2шт,"20,000"
,1410,BARBARA Зеркало лешмейкера (красное),"60,000"
,1411,BARBARA Зеркало лешмейкера (синее),"60,000"
,1412,BARBARA Лешбокс Butter на #10,"525,000"
,1413,BARBARA Лешбокс Butter на #5,"345,000"
,1414,BARBARA Лешбокс LOVE 5 планшетов,"485,000"
,1415,BARBARA Лешбокс Olive на #10,"525,000"
,1416,BARBARA Лешбокс Olive на #5,"345,000"
,1417,BARBARA Лешбокс Peach на #10,"525,000"
,1418,BARBARA Лешбокс Peach на #5,"345,000"
,1419,BARBARA Лешбокс белаяый  на #10,"380,000"
,1420,BARBARA Лешбокс белаяый  на #5,"265,000"
,1421,BARBARA Лешбокс черный  на #10,"380,000"
,1422,BARBARA Лешбокс черный на #5,"265,000"
,1423,BARBARA Магнитный кейс для пинцетов,"125,000"
,1424,BARBARA Органайзер Butter,"590,000"
,1425,BARBARA Органайзер Olive,"590,000"
,1426,BARBARA Органайзер Peach,"590,000"
,1427,BARBARA Органайзер белаяый,"400,000"
,1428,BARBARA Органайзер черный,"400,000"
,1429,BARBARA патчи гидрогелевые 2 пары,"12,000"
,1430,BARBARA планшет Butter,"35,000"
,1431,BARBARA планшет Olive,"35,000"
,1432,BARBARA планшет Peach,"35,000"
,1433,BARBARA Планшет на руку Butter,"75,000"
,1434,BARBARA Планшет на руку Olive,"75,000"
,1435,BARBARA Планшет №1 (в коробке),"45,000"
,1436,BARBARA Планшет №2 (в коробке),"52,000"
,1437,BARBARA Планшет №3 (в коробке),"32,000"
,1438,Lovely Бокс-органайзер,"415,000"
,1439,Lovely Кейс магн на 6 пинцетов,"135,000"
,1440,Lovely Лешбокс на 10 планшетов,"385,000"
,1441,Lovely Лешбокс на 5 планшетов,"285,000"
,1442,Lovely Многофункцион.инструмент,"99,000"
,1443,Lovely Органайзер лэшмейкера,"310,000"
,1444,Lovely Планшет на руку на резинке,"50,000"
,1445,Lovely Планшет сменный на повязку на гол,"25,000"
,1446,Lovely Планшет черный,"38,000"
,1447,Lovely Планшет №1 ,"43,000"
,1448,Lovely Планшет №2 ,"49,000"
,1449,Lovely Планшет №3 ,"29,000"
,1450,Lovely Планшет №3 ,"29,000"
,1451,Lovely Планшет-горка,"49,000"
,1452,Lovely Повязка на голову с планшетом,"75,000"
